County,County Code,Age Group,Population
"Beaverhead County, MT",30001,0-4 years,385
"Beaverhead County, MT",30001,5-9 years,449
"Beaverhead County, MT",30001,10-14 years,436
"Beaverhead County, MT",30001,15-19 years,717
"Beaverhead County, MT",30001,20-24 years,947
"Beaverhead County, MT",30001,25-29 years,514
"Beaverhead County, MT",30001,30-34 years,482
"Beaverhead County, MT",30001,35-39 years,525
"Beaverhead County, MT",30001,40-44 years,505
"Beaverhead County, MT",30001,45-49 years,451
"Beaverhead County, MT",30001,50-54 years,447
"Beaverhead County, MT",30001,55-59 years,621
"Beaverhead County, MT",30001,60-64 years ,723
"Beaverhead County, MT",30001,65-69 years,706
"Beaverhead County, MT",30001,70-74 years,581
"Beaverhead County, MT",30001,75-79 years,397
"Beaverhead County, MT",30001,80-84 years,268
"Beaverhead County, MT",30001,85+ years,218
"Big Horn County, MT",30003,0-4 years,1087
"Big Horn County, MT",30003,5-9 years,1247
"Big Horn County, MT",30003,10-14 years,1352
"Big Horn County, MT",30003,15-19 years,1087
"Big Horn County, MT",30003,20-24 years,722
"Big Horn County, MT",30003,25-29 years,721
"Big Horn County, MT",30003,30-34 years,802
"Big Horn County, MT",30003,35-39 years,763
"Big Horn County, MT",30003,40-44 years,681
"Big Horn County, MT",30003,45-49 years,599
"Big Horn County, MT",30003,50-54 years,700
"Big Horn County, MT",30003,55-59 years,786
"Big Horn County, MT",30003,60-64 years ,749
"Big Horn County, MT",30003,65-69 years,643
"Big Horn County, MT",30003,70-74 years,485
"Big Horn County, MT",30003,75-79 years,286
"Big Horn County, MT",30003,80-84 years,201
"Big Horn County, MT",30003,85+ years,140
"Blaine County, MT",30005,0-4 years,556
"Blaine County, MT",30005,5-9 years,601
"Blaine County, MT",30005,10-14 years,618
"Blaine County, MT",30005,15-19 years,527
"Blaine County, MT",30005,20-24 years,407
"Blaine County, MT",30005,25-29 years,419
"Blaine County, MT",30005,30-34 years,432
"Blaine County, MT",30005,35-39 years,431
"Blaine County, MT",30005,40-44 years,387
"Blaine County, MT",30005,45-49 years,337
"Blaine County, MT",30005,50-54 years,319
"Blaine County, MT",30005,55-59 years,436
"Blaine County, MT",30005,60-64 years ,452
"Blaine County, MT",30005,65-69 years,342
"Blaine County, MT",30005,70-74 years,298
"Blaine County, MT",30005,75-79 years,182
"Blaine County, MT",30005,80-84 years,135
"Blaine County, MT",30005,85+ years,123
"Broadwater County, MT",30007,0-4 years,366
"Broadwater County, MT",30007,5-9 years,363
"Broadwater County, MT",30007,10-14 years,368
"Broadwater County, MT",30007,15-19 years,345
"Broadwater County, MT",30007,20-24 years,300
"Broadwater County, MT",30007,25-29 years,352
"Broadwater County, MT",30007,30-34 years,346
"Broadwater County, MT",30007,35-39 years,384
"Broadwater County, MT",30007,40-44 years,386
"Broadwater County, MT",30007,45-49 years,401
"Broadwater County, MT",30007,50-54 years,448
"Broadwater County, MT",30007,55-59 years,549
"Broadwater County, MT",30007,60-64 years ,615
"Broadwater County, MT",30007,65-69 years,537
"Broadwater County, MT",30007,70-74 years,488
"Broadwater County, MT",30007,75-79 years,303
"Broadwater County, MT",30007,80-84 years,168
"Broadwater County, MT",30007,85+ years,127
"Carbon County, MT",30009,0-4 years,417
"Carbon County, MT",30009,5-9 years,496
"Carbon County, MT",30009,10-14 years,588
"Carbon County, MT",30009,15-19 years,528
"Carbon County, MT",30009,20-24 years,383
"Carbon County, MT",30009,25-29 years,412
"Carbon County, MT",30009,30-34 years,454
"Carbon County, MT",30009,35-39 years,613
"Carbon County, MT",30009,40-44 years,663
"Carbon County, MT",30009,45-49 years,622
"Carbon County, MT",30009,50-54 years,662
"Carbon County, MT",30009,55-59 years,862
"Carbon County, MT",30009,60-64 years ,1080
"Carbon County, MT",30009,65-69 years,928
"Carbon County, MT",30009,70-74 years,815
"Carbon County, MT",30009,75-79 years,445
"Carbon County, MT",30009,80-84 years,288
"Carbon County, MT",30009,85+ years,256
"Carter County, MT",30011,0-4 years,107
"Carter County, MT",30011,5-9 years,91
"Carter County, MT",30011,10-14 years,65
"Carter County, MT",30011,15-19 years,60
"Carter County, MT",30011,20-24 years,54
"Carter County, MT",30011,25-29 years,68
"Carter County, MT",30011,30-34 years,88
"Carter County, MT",30011,35-39 years,87
"Carter County, MT",30011,40-44 years,61
"Carter County, MT",30011,45-49 years,47
"Carter County, MT",30011,50-54 years,62
"Carter County, MT",30011,55-59 years,118
"Carter County, MT",30011,60-64 years ,132
"Carter County, MT",30011,65-69 years,148
"Carter County, MT",30011,70-74 years,70
"Carter County, MT",30011,75-79 years,66
"Carter County, MT",30011,80-84 years,40
"Carter County, MT",30011,85+ years,49
"Cascade County, MT",30013,0-4 years,5370
"Cascade County, MT",30013,5-9 years,5376
"Cascade County, MT",30013,10-14 years,5424
"Cascade County, MT",30013,15-19 years,4825
"Cascade County, MT",30013,20-24 years,5678
"Cascade County, MT",30013,25-29 years,6091
"Cascade County, MT",30013,30-34 years,5721
"Cascade County, MT",30013,35-39 years,5474
"Cascade County, MT",30013,40-44 years,4597
"Cascade County, MT",30013,45-49 years,4170
"Cascade County, MT",30013,50-54 years,4448
"Cascade County, MT",30013,55-59 years,5536
"Cascade County, MT",30013,60-64 years ,5650
"Cascade County, MT",30013,65-69 years,5048
"Cascade County, MT",30013,70-74 years,4180
"Cascade County, MT",30013,75-79 years,2838
"Cascade County, MT",30013,80-84 years,1982
"Cascade County, MT",30013,85+ years,1920
"Chouteau County, MT",30015,0-4 years,281
"Chouteau County, MT",30015,5-9 years,311
"Chouteau County, MT",30015,10-14 years,454
"Chouteau County, MT",30015,15-19 years,417
"Chouteau County, MT",30015,20-24 years,319
"Chouteau County, MT",30015,25-29 years,302
"Chouteau County, MT",30015,30-34 years,365
"Chouteau County, MT",30015,35-39 years,339
"Chouteau County, MT",30015,40-44 years,338
"Chouteau County, MT",30015,45-49 years,316
"Chouteau County, MT",30015,50-54 years,308
"Chouteau County, MT",30015,55-59 years,412
"Chouteau County, MT",30015,60-64 years ,471
"Chouteau County, MT",30015,65-69 years,444
"Chouteau County, MT",30015,70-74 years,322
"Chouteau County, MT",30015,75-79 years,206
"Chouteau County, MT",30015,80-84 years,146
"Chouteau County, MT",30015,85+ years,148
"Custer County, MT",30017,0-4 years,624
"Custer County, MT",30017,5-9 years,677
"Custer County, MT",30017,10-14 years,660
"Custer County, MT",30017,15-19 years,778
"Custer County, MT",30017,20-24 years,647
"Custer County, MT",30017,25-29 years,716
"Custer County, MT",30017,30-34 years,674
"Custer County, MT",30017,35-39 years,818
"Custer County, MT",30017,40-44 years,703
"Custer County, MT",30017,45-49 years,681
"Custer County, MT",30017,50-54 years,682
"Custer County, MT",30017,55-59 years,922
"Custer County, MT",30017,60-64 years ,900
"Custer County, MT",30017,65-69 years,804
"Custer County, MT",30017,70-74 years,601
"Custer County, MT",30017,75-79 years,370
"Custer County, MT",30017,80-84 years,295
"Custer County, MT",30017,85+ years,307
"Daniels County, MT",30019,0-4 years,82
"Daniels County, MT",30019,5-9 years,108
"Daniels County, MT",30019,10-14 years,105
"Daniels County, MT",30019,15-19 years,94
"Daniels County, MT",30019,20-24 years,67
"Daniels County, MT",30019,25-29 years,82
"Daniels County, MT",30019,30-34 years,81
"Daniels County, MT",30019,35-39 years,94
"Daniels County, MT",30019,40-44 years,98
"Daniels County, MT",30019,45-49 years,69
"Daniels County, MT",30019,50-54 years,72
"Daniels County, MT",30019,55-59 years,114
"Daniels County, MT",30019,60-64 years ,156
"Daniels County, MT",30019,65-69 years,125
"Daniels County, MT",30019,70-74 years,95
"Daniels County, MT",30019,75-79 years,74
"Daniels County, MT",30019,80-84 years,54
"Daniels County, MT",30019,85+ years,88
"Dawson County, MT",30021,0-4 years,508
"Dawson County, MT",30021,5-9 years,535
"Dawson County, MT",30021,10-14 years,563
"Dawson County, MT",30021,15-19 years,592
"Dawson County, MT",30021,20-24 years,501
"Dawson County, MT",30021,25-29 years,562
"Dawson County, MT",30021,30-34 years,541
"Dawson County, MT",30021,35-39 years,530
"Dawson County, MT",30021,40-44 years,511
"Dawson County, MT",30021,45-49 years,507
"Dawson County, MT",30021,50-54 years,489
"Dawson County, MT",30021,55-59 years,611
"Dawson County, MT",30021,60-64 years ,674
"Dawson County, MT",30021,65-69 years,634
"Dawson County, MT",30021,70-74 years,412
"Dawson County, MT",30021,75-79 years,291
"Dawson County, MT",30021,80-84 years,206
"Dawson County, MT",30021,85+ years,255
"Deer Lodge County, MT",30023,0-4 years,324
"Deer Lodge County, MT",30023,5-9 years,303
"Deer Lodge County, MT",30023,10-14 years,341
"Deer Lodge County, MT",30023,15-19 years,549
"Deer Lodge County, MT",30023,20-24 years,508
"Deer Lodge County, MT",30023,25-29 years,525
"Deer Lodge County, MT",30023,30-34 years,590
"Deer Lodge County, MT",30023,35-39 years,522
"Deer Lodge County, MT",30023,40-44 years,563
"Deer Lodge County, MT",30023,45-49 years,597
"Deer Lodge County, MT",30023,50-54 years,627
"Deer Lodge County, MT",30023,55-59 years,785
"Deer Lodge County, MT",30023,60-64 years ,832
"Deer Lodge County, MT",30023,65-69 years,837
"Deer Lodge County, MT",30023,70-74 years,629
"Deer Lodge County, MT",30023,75-79 years,409
"Deer Lodge County, MT",30023,80-84 years,273
"Deer Lodge County, MT",30023,85+ years,199
"Fallon County, MT",30025,0-4 years,194
"Fallon County, MT",30025,5-9 years,254
"Fallon County, MT",30025,10-14 years,237
"Fallon County, MT",30025,15-19 years,190
"Fallon County, MT",30025,20-24 years,137
"Fallon County, MT",30025,25-29 years,190
"Fallon County, MT",30025,30-34 years,180
"Fallon County, MT",30025,35-39 years,180
"Fallon County, MT",30025,40-44 years,179
"Fallon County, MT",30025,45-49 years,156
"Fallon County, MT",30025,50-54 years,158
"Fallon County, MT",30025,55-59 years,175
"Fallon County, MT",30025,60-64 years ,253
"Fallon County, MT",30025,65-69 years,194
"Fallon County, MT",30025,70-74 years,145
"Fallon County, MT",30025,75-79 years,69
"Fallon County, MT",30025,80-84 years,74
"Fallon County, MT",30025,85+ years,68
"Fergus County, MT",30027,0-4 years,630
"Fergus County, MT",30027,5-9 years,665
"Fergus County, MT",30027,10-14 years,714
"Fergus County, MT",30027,15-19 years,604
"Fergus County, MT",30027,20-24 years,491
"Fergus County, MT",30027,25-29 years,626
"Fergus County, MT",30027,30-34 years,636
"Fergus County, MT",30027,35-39 years,669
"Fergus County, MT",30027,40-44 years,680
"Fergus County, MT",30027,45-49 years,587
"Fergus County, MT",30027,50-54 years,609
"Fergus County, MT",30027,55-59 years,807
"Fergus County, MT",30027,60-64 years ,920
"Fergus County, MT",30027,65-69 years,885
"Fergus County, MT",30027,70-74 years,781
"Fergus County, MT",30027,75-79 years,508
"Fergus County, MT",30027,80-84 years,341
"Fergus County, MT",30027,85+ years,304
"Flathead County, MT",30029,0-4 years,5735
"Flathead County, MT",30029,5-9 years,6357
"Flathead County, MT",30029,10-14 years,6787
"Flathead County, MT",30029,15-19 years,5936
"Flathead County, MT",30029,20-24 years,4896
"Flathead County, MT",30029,25-29 years,6181
"Flathead County, MT",30029,30-34 years,6336
"Flathead County, MT",30029,35-39 years,6923
"Flathead County, MT",30029,40-44 years,6716
"Flathead County, MT",30029,45-49 years,6068
"Flathead County, MT",30029,50-54 years,6258
"Flathead County, MT",30029,55-59 years,7176
"Flathead County, MT",30029,60-64 years ,8173
"Flathead County, MT",30029,65-69 years,7806
"Flathead County, MT",30029,70-74 years,5965
"Flathead County, MT",30029,75-79 years,3604
"Flathead County, MT",30029,80-84 years,2110
"Flathead County, MT",30029,85+ years,1746
"Gallatin County, MT",30031,0-4 years,5989
"Gallatin County, MT",30031,5-9 years,6698
"Gallatin County, MT",30031,10-14 years,6902
"Gallatin County, MT",30031,15-19 years,8226
"Gallatin County, MT",30031,20-24 years,14231
"Gallatin County, MT",30031,25-29 years,10643
"Gallatin County, MT",30031,30-34 years,8915
"Gallatin County, MT",30031,35-39 years,8963
"Gallatin County, MT",30031,40-44 years,7938
"Gallatin County, MT",30031,45-49 years,6679
"Gallatin County, MT",30031,50-54 years,5845
"Gallatin County, MT",30031,55-59 years,6308
"Gallatin County, MT",30031,60-64 years ,6578
"Gallatin County, MT",30031,65-69 years,5913
"Gallatin County, MT",30031,70-74 years,4362
"Gallatin County, MT",30031,75-79 years,2513
"Gallatin County, MT",30031,80-84 years,1411
"Gallatin County, MT",30031,85+ years,1388
"Garfield County, MT",30033,0-4 years,68
"Garfield County, MT",30033,5-9 years,67
"Garfield County, MT",30033,10-14 years,85
"Garfield County, MT",30033,15-19 years,66
"Garfield County, MT",30033,20-24 years,56
"Garfield County, MT",30033,25-29 years,51
"Garfield County, MT",30033,30-34 years,60
"Garfield County, MT",30033,35-39 years,66
"Garfield County, MT",30033,40-44 years,78
"Garfield County, MT",30033,45-49 years,61
"Garfield County, MT",30033,50-54 years,63
"Garfield County, MT",30033,55-59 years,80
"Garfield County, MT",30033,60-64 years ,81
"Garfield County, MT",30033,65-69 years,93
"Garfield County, MT",30033,70-74 years,83
"Garfield County, MT",30033,75-79 years,54
"Garfield County, MT",30033,80-84 years,38
"Garfield County, MT",30033,85+ years,22
"Glacier County, MT",30035,0-4 years,1162
"Glacier County, MT",30035,5-9 years,1258
"Glacier County, MT",30035,10-14 years,1212
"Glacier County, MT",30035,15-19 years,1098
"Glacier County, MT",30035,20-24 years,862
"Glacier County, MT",30035,25-29 years,855
"Glacier County, MT",30035,30-34 years,920
"Glacier County, MT",30035,35-39 years,884
"Glacier County, MT",30035,40-44 years,751
"Glacier County, MT",30035,45-49 years,684
"Glacier County, MT",30035,50-54 years,672
"Glacier County, MT",30035,55-59 years,857
"Glacier County, MT",30035,60-64 years ,847
"Glacier County, MT",30035,65-69 years,610
"Glacier County, MT",30035,70-74 years,457
"Glacier County, MT",30035,75-79 years,270
"Glacier County, MT",30035,80-84 years,173
"Glacier County, MT",30035,85+ years,175
"Golden Valley County, MT",30037,0-4 years,37
"Golden Valley County, MT",30037,5-9 years,43
"Golden Valley County, MT",30037,10-14 years,48
"Golden Valley County, MT",30037,15-19 years,44
"Golden Valley County, MT",30037,20-24 years,27
"Golden Valley County, MT",30037,25-29 years,50
"Golden Valley County, MT",30037,30-34 years,32
"Golden Valley County, MT",30037,35-39 years,48
"Golden Valley County, MT",30037,40-44 years,42
"Golden Valley County, MT",30037,45-49 years,26
"Golden Valley County, MT",30037,50-54 years,46
"Golden Valley County, MT",30037,55-59 years,59
"Golden Valley County, MT",30037,60-64 years ,72
"Golden Valley County, MT",30037,65-69 years,85
"Golden Valley County, MT",30037,70-74 years,63
"Golden Valley County, MT",30037,75-79 years,42
"Golden Valley County, MT",30037,80-84 years,31
"Golden Valley County, MT",30037,85+ years,25
"Granite County, MT",30039,0-4 years,105
"Granite County, MT",30039,5-9 years,144
"Granite County, MT",30039,10-14 years,155
"Granite County, MT",30039,15-19 years,143
"Granite County, MT",30039,20-24 years,129
"Granite County, MT",30039,25-29 years,142
"Granite County, MT",30039,30-34 years,133
"Granite County, MT",30039,35-39 years,178
"Granite County, MT",30039,40-44 years,181
"Granite County, MT",30039,45-49 years,165
"Granite County, MT",30039,50-54 years,173
"Granite County, MT",30039,55-59 years,287
"Granite County, MT",30039,60-64 years ,343
"Granite County, MT",30039,65-69 years,356
"Granite County, MT",30039,70-74 years,268
"Granite County, MT",30039,75-79 years,201
"Granite County, MT",30039,80-84 years,118
"Granite County, MT",30039,85+ years,87
"Hill County, MT",30041,0-4 years,1415
"Hill County, MT",30041,5-9 years,1342
"Hill County, MT",30041,10-14 years,1188
"Hill County, MT",30041,15-19 years,1169
"Hill County, MT",30041,20-24 years,1002
"Hill County, MT",30041,25-29 years,1056
"Hill County, MT",30041,30-34 years,1075
